Administrative_Avg,Informational_Avg,ProductRelated_Avg,BounceRates,ExitRates,PageValues,SpecialDay,Month,OperatingSystems,Browser,Region,TrafficType,VisitorType,Weekend,Revenue
44.541666675,40.666666675,53.708333325,0.0,0.018181818,0.0,0.0,Dec,2,2,2,1,Returning_Visitor,False,False
0.0,0.0,53.166666666666664,0.0,0.05,0.0,0.0,Mar,1,1,6,1,Returning_Visitor,True,False
0.0,0.0,220.67857142857142,0.014285714,0.033333333,0.0,0.0,Dec,1,1,3,1,Returning_Visitor,False,False
5.666666666666667,0.0,24.08635235483871,0.00952381,0.04031746,0.0,0.0,Dec,2,2,1,2,Returning_Visitor,False,False
22.259999999999998,0.0,30.23272260869565,0.0,0.008337205,17.63434621,0.0,Nov,2,2,9,2,Returning_Visitor,False,False
0.0,0.0,18.36666667,0.04,0.08,0.0,0.0,Feb,1,1,3,1,Returning_Visitor,False,False
202.0,0.0,4.0,0.0,0.066666667,0.0,0.0,Mar,2,2,8,6,New_Visitor,False,False
0.0,0.0,17.9,0.04,0.053333333,0.0,0.0,Dec,1,1,3,2,Returning_Visitor,True,False
46.035714285714285,0.0,40.290133165289255,0.011806061,0.020025438,0.0,0.0,Nov,3,2,1,13,Returning_Visitor,False,False
0.0,81.5,13.113741098387097,0.003225806,0.011827957,9.311854839,0.0,May,2,2,5,2,Returning_Visitor,True,False
0.0,9.0,46.0,0.0,0.066666667,0.0,0.0,Mar,2,2,7,10,Returning_Visitor,False,False
0.0,0.0,20.854166666666668,0.05,0.083333333,0.0,0.0,Dec,1,1,1,3,Returning_Visitor,True,False
0.0,212.5,57.083333333333336,0.0,0.003174603,0.0,0.0,Mar,2,4,7,2,Returning_Visitor,False,False
0.0,117.0,50.5,0.025,0.0375,0.0,0.0,Dec,2,2,8,2,Returning_Visitor,False,False
0.0,0.0,343.0,0.0,0.066666667,0.0,0.0,Nov,2,2,4,3,Other,False,False
23.3125,0.0,33.77372598245614,0.005,0.0175,23.4154,0.0,May,2,2,3,6,Returning_Visitor,False,False
